Now----, Next---, Cage, LocalTime--, Pos, hw---------, Dep, Arr, SD, Clt--------, Ton, Tof, Hc-
31.RSTC, 04.RTSC,    1, 1.65843e+02,   1, 0.00000e+00,   5,   1, LD, 1.65843e+02,   0,   0,   3
04.RTSC, 06.RSUB,    1, 1.65843e+02,   1, 0.00000e+00,   1,   9, LU, 1.65843e+02,   0,   0,   3
06.RSUB, 07.RSUM,    1, 1.67393e+02,   1, 4.87500e-01,   1,   9, LU, 1.67393e+02,   0,   0,   3
07.RSUM, 08.RSUC,    1, 1.68943e+02,   1, 1.95000e+00,   1,   9, LU, 1.68943e+02,   0,   0,   3
08.RSUC, 09.RCOB,    1, 1.68943e+02,   1, 1.95000e+00,   1,   9, LU, 1.68943e+02,   0,   0,   3
09.RCOB, 10.RCOM,    1, 1.76976e+02,   5, 1.40000e+01,   1,   9, LU, 1.76976e+02,   0,   0,   3
10.RCOM, 05.RTSR,    1, 1.85009e+02,   8, 2.60500e+01,   1,   9, UU, 1.85009e+02,   0,   0,   3
05.RTSR, 11.RCOC,    1, 1.85009e+02,   8, 2.60500e+01,   1,   9, UU, 1.85009e+02,   0,   0,   3
11.RCOC, 12.RSDB,    1, 1.85009e+02,   8, 2.60500e+01,   1,   9, UU, 1.85009e+02,   0,   0,   3
12.RSDB, 13.RSDM,    1, 1.85009e+02,   8, 2.75125e+01,   1,   9, UU, 1.85009e+02,   0,   0,   3
13.RSDM, 14.RSDC,    1, 1.88109e+02,   9, 2.80000e+01,   1,   9, UU, 1.88109e+02,   0,   0,   3
14.RSDC, 15.RSTB,    1, 1.88109e+02,   9, 2.80000e+01,   1,   9, UU, 1.88109e+02,   0,   0,   3
15.RSTB, 16.RSTM,    1, 1.88109e+02,   9, 2.80000e+01,   1,   9, UU, 1.88109e+02,   0,   0,   3
16.RSTM, 17.DOPB,    1, 1.88109e+02,   9, 2.80000e+01,   1,   9, UU, 1.88109e+02,   0,   0,   3
17.DOPB, 18.DOPM,    1, 1.89159e+02,   9, 2.80000e+01,   1,   9, UU, 1.89159e+02,   0,   0,   3
18.DOPM, 19.DOPC,    1, 1.90209e+02,   9, 2.80000e+01,   1,   9, UU, 1.90209e+02,   0,   0,   3
19.DOPC, 20.TOFP,    1, 1.90209e+02,   9, 2.80000e+01,   1,   9, UU, 1.90209e+02,   0,   0,   3
